,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,Temp,Windspeed
0,jalu,0,LY,1569648341,56,29.03,21.55,75.87,75.87,2.51
1,ushuaia,40,AR,1569648172,70,-54.81,-68.31,46.4,43.27,4.16
2,avarua,28,CK,1569648079,73,-21.21,-159.78,73.4,73.4,6.93
3,bowen,8,AU,1569648342,48,-20.01,148.25,84.2,84.2,10.29
4,albany,20,US,1569648232,71,42.65,-73.75,59.0,52.05,2.35
5,hermanus,100,ZA,1569648104,85,-34.42,19.24,64.99,63.88,10.0
6,nikolskoye,90,RU,1569648343,93,59.7,30.79,46.0,43.07,4.47
7,dingle,99,PH,1569648012,72,11.0,122.67,85.72,85.72,5.99
8,atuona,6,PF,1569648343,75,-9.8,-139.03,79.83,79.83,16.8
9,biak,100,ID,1569648289,80,-0.91,122.88,70.64,70.64,3.38
10,boende,94,CD,1569648344,81,-0.28,20.88,76.38,76.38,1.32
11,yellowknife,75,CA,1569648344,80,62.45,-114.38,33.8,33.37,10.29
12,nizhneyansk,40,MU,1569648344,65,-20.41,57.7,77.0,77.0,14.99
13,mahebourg,20,IN,1569648345,74,8.88,76.6,86.0,86.0,6.93
14,kollam,20,IE,1569648345,93,51.89,-8.4,55.0,54.46,14.99
15,mahon,20,SO,1569648345,79,11.28,49.18,87.8,87.8,6.93
16,bosaso,42,TZ,1569648295,81,-4.97,39.83,76.77,76.77,16.84
17,micheweni,83,NZ,1569648041,81,-45.87,170.5,54.0,54.0,25.99
18,kuche,88,RU,1569648346,84,57.13,73.82,39.37,39.37,5.88
19,dunedin,3,BR,1569648347,96,-8.9,-35.15,67.76,67.76,4.03
20,tahta,100,RU,1569648347,98,68.75,161.3,33.36,33.36,4.03
21,znamenskoye,75,CA,1569648348,56,60.82,-115.79,41.0,41.0,16.11
22,bengkulu,75,AU,1569648053,38,-42.78,147.06,59.0,57.4,14.99
